,Model,Type,Type,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy
61,Building 26.75717.1,1,dist_heating,0.823995128,0.641966739,0.804696618,0.842127646,0.563946407,4.00E-111,0.906347316,0.845572354,0.796089385,0.842841765,0.79943899,0.842841765,0.845572354,0.844204852,0.563946407,0.476857491,0.565773447,0.82083087
62,Building 33.75718.1,1,dist_heating,0.813032887,0.610433189,0.793316908,0.831622876,0.602314251,1.92E-75,0.73202123,0.841253792,0.770290965,0.847250509,0.762121212,0.847250509,0.841253792,0.844241502,0.602314251,0.506699147,0.598051157,0.805772378
63,Building 15.75719.1,1,dist_heating,0.798416565,0.595127242,0.778181703,0.817578635,0.543239951,7.55E-104,0.099158057,0.8,0.797085202,0.768245839,0.825783972,0.768245839,0.8,0.783801437,0.456760049,0.365408039,0.475639464,0.798542601
64,Building 18.75720.1,1,dist_heating,0.788063337,0.547436283,0.767485261,0.807606222,0.605359318,2.21E-56,9.11E-05,0.862173038,0.674382716,0.802434457,0.761324042,0.802434457,0.862173038,0.831231814,0.605359318,0.521924482,0.650426309,0.768277877
65,Building 16.75721.1,1,dist_heating,0.730816078,0.461577039,0.708658426,0.752145546,0.500609013,1.01E-80,0.001438239,0.68902439,0.772506083,0.751329787,0.713483146,0.751329787,0.68902439,0.718829517,0.499390987,0.34409257,0.457978076,0.730765236
66,Building 27.81909.1,2,Elect,0.99634592,0.992449788,0.992063692,0.998657873,0.58952497,0,1,0.995548961,0.996900826,0.995548961,0.996900826,0.995548961,0.995548961,0.995548961,0.41047503,0.40864799,0.41047503,0.996224894
67,Building 9.82254.1,1,dist_heating,0.84409257,0.651010723,0.825629013,0.861316513,0.660170524,2.10E-63,0.573775404,0.886531365,0.761648746,0.878427788,0.775547445,0.878427788,0.886531365,0.882460973,0.660170524,0.585261876,0.666260658,0.824090055
68,Building 9.83427.1,2,Elect,0.876602564,0.71853939,0.857063486,0.89434668,0.673878205,5.31E-62,0.808976295,0.910820452,0.805896806,0.906508876,0.813895782,0.906508876,0.910820452,0.908659549,0.673878205,0.613782051,0.677083333,0.858358629
69,Building 9.84681.1,2,Elect,0.868263473,0.724622386,0.843421679,0.890469804,0.591616766,9.43E-69,0.045255546,0.910931174,0.806451613,0.872093023,0.862068966,0.872093023,0.910931174,0.891089109,0.591616766,0.538922156,0.617964072,0.858691393
70,Building 23.75696.2,1,dist_heating,0.97706422,0.938628806,0.968245181,0.983973616,0.747051114,3.48E-139,0.042522478,0.937823834,0.990350877,0.970509383,0.979184735,0.970509383,0.937823834,0.953886693,0.252948886,0.237221494,0.244429882,0.964087356
71,Building 26.77662.2,2,Elect,0.912911084,0.751790173,0.898218973,0.926106297,0.766747868,2.00E-54,0.094428916,0.951548848,0.785900783,0.9359375,0.831491713,0.9359375,0.951548848,0.943678614,0.766747868,0.729598051,0.77953715,0.868724816
72,Building 6.5304.3,2,Elect,0.856292517,0.555609219,0.83492836,0.875856368,0.801020408,5.01E-07,0.538300749,0.90552017,0.658119658,0.914255091,0.633744856,0.914255091,0.90552017,0.909866667,0.801020408,0.725340136,0.793367347,0.781819914
73,Building 29.28108.3,2,Elect,0.871498173,0.70910822,0.85434148,0.887314045,0.678440926,1.13E-73,0.098488052,0.894075404,0.823863636,0.914600551,0.786618445,0.914600551,0.894075404,0.904221516,0.678440926,0.606577345,0.663215591,0.85896952
74,Building 28.28096.4,1,dist_heating,0.829476248,0.658850766,0.810396184,0.847370283,0.540803898,9.70E-135,0.000166569,0.806306306,0.856763926,0.868932039,0.789731051,0.868932039,0.806306306,0.836448598,0.540803898,0.436053593,0.50182704,0.831535116
75,Building 29.28168.4,1,dist_heating,0.749695493,0.497373145,0.728003438,0.770491235,0.520097442,1.78E-81,0.017900717,0.708121827,0.788056206,0.755074425,0.745293466,0.755074425,0.708121827,0.730844794,0.479902558,0.339829476,0.450060901,0.748089017
